# See the documentation on the wiki to learn how to edit this file.
#-------------------------------
[0]
Name = Essen
Filename = mapRegion0.png
Point = 13,12,,Oak's Lab,2,8,8
Point = 13,11,
Point = 13,10,Block Street,Cedolan Dept. Store,7,47,11
Point = 14,10,Block Street,,7,47,11
Point = 14,9,Crossway
Point = 14,8,Central City
Point = 15,8,Central City,,23,11,15
Point = 16,8,Central City
Point = 15,7,Central City
Point = 15,6,Cab Line Stop,Ice Cave
Point = 14,6,
Point = 13,6,,,35,17,7
Point = 12,6,
Point = 11,6,
Point = 11,7,,Cycle Road
Point = 11,8,,Cycle Road
Point = 11,9,,Cycle Road
Point = 11,10,
Point = 12,10,Path to Scale Tunnel
Point = 15,10,
Point = 16,10,,Rock Cave
Point = 17,10,,,52,17,14
Point = 12,12,
Point = 13,13,,Diving area
Point = 18,17,Zone Four,,,,,51
Point = 22,16,Faraday Island,,,,,52
Point = 3,14,Dustington,
Point = 2,12,Powdered Cave,
Point = 4,14,Zone Zero,
Point = 4,13,Zone Zero,
Point = 5,13,Zone Zero,
Point = 4,12,Zone Zero,
Point = 5,12,Zone Zero,
Point = 5,11,Zone Zero,
Point = 6,12,Zone Zero,
Point = 6,13,Zone Zero,
Point = 6,14,Zone Zero,
Point = 7,14,Zone Zero,
Point = 7,13,Zone Zero,
Point = 8,14,Zone Zero,
Point = 8,12,Scale Tunnel,
Point = 2,14,Powdered Trail,
Point = 2,13,Powdered Trail,
Point = 8,13,Zone Zero,
Point = 9,9,The Temple of Ileas,
Point = 12,11,Scale Tunnel,
Point = 17,8,Entrance to Zone Five,
Point = 17,9,The Subcity,
Point = 16,9,Zone Five,
Point = 13,9,Zone Five,
Point = 13,8,Zone Five,
Point = 15,9,Central City,
Point = 15,5,Man-Tow Bridge,
Point = 15,4,Man-Tow Bridge,
Point = 15,2,Zone Two,
Point = 15,3,Man-Tow Port,
Point = 16,3,Man-Tow Port,
Point = 15,1,Zone Two,
Point = 14,1,Zone Two,
Point = 14,2,Zone Two,
Point = 13,2,Zone Two,
Point = 13,1,Zone Two,
Point = 12,1,Zone Two,
Point = 11,1,Zone Two,
Point = 11,2,Zone Two,
Point = 12,2,Zone Two,
Point = 11,3,Zone Two,
Point = 12,3,Zone Two,
